ItemId,subCatID,Item6,proCate,HsType,SId,ItemTH_Name,FisheriesTypeId,FisheriesType,ItemEN_Name,Ex_Group,Im_Group,ComodityDetailGroup,ItemDot8,ItemDot8Cate,ProductId,Item8,ThaiFishId
1061200000,2,10612,,5,3,ปลาวาฬ ปลาโลมา ชนิดดอลฟินและชนิดพอร์พัส แมนาที พยูน แมวน้ำ  พะยูน มีชีวิตนำเข้ามาสำหรับทำพันธุ์,147,วาฬ โลมา,"- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",13,13,37,0106.12.00,,1,1061200,0
1062000002,1,10620,,5,1,เต่าและตะพาบน้ำมีชีวิต,73,เต่า,"Turtles and snapping turtles, live",24,20,44,0106.20.00,,1,1062000,0
1062000003,1,10620,,5,1,ตะพาบน้ำไต้หวันมีชีวิต,70,ตะพาบน้ำ,Taiwan snapping turtles,24,20,44,0106.20.00,,1,1062000,0
1062000004,1,10620,,5,1,ตะพาบน้ำอื่นๆมีชีวิต,70,ตะพาบน้ำ,Other snapping turtles,24,20,44,0106.20.00,,1,1062000,0
1062000005,1,10620,,5,1,จระเข้มีชีวิต,69,จระเข้มีชีวิต,Crocodile,24,20,44,0106.20.00,,1,1062000,0
1069000001,2,10690,,5,1,กบมีชีวิตสำหรับบริโภคและทำพันธุ์,52,กบ,"Frog, live, for consumption, breeding",24,20,44,0106.90.00,,1,1069000,0
2084000000,4,20840,,2,4,เนื้อหรือส่วนอื่นที่บริโภคได้ของปลาวาฬ ปลาโลมา พะยูน แช่เย็นแช่แข็ง,147,วาฬ โลมา,"Other meat and ediable meat  of whales, dolphins and porpoises, manatees and dugongs, fresh, chilled or frozen",24,20,44,0208.40.00,,0,2084000,0
2084010000,4,20840,,3,4,เนื้อและส่วนอื่นที่บริโภคได้ของวาฬ โลมา แมนาทีและพยูนสดแช่เย็น แช่แข็ง,147,วาฬ โลมา,(blank),24,20,44,0208.40.10,,0,2084010,0
2084090000,13,20840,,3,4,เนื้อและส่วนอื่นที่บริโภคได้ของวาฬ โลมา แมนาทีและพยูนอื่นๆ สด แช่เย็น แช่แข็ง,147,วาฬ โลมา,(blank),24,20,44,0208.40.90,,0,2084090,0
2085000000,4,20850,,5,5,เนื้อหรือส่วนอื่นที่บริโภคได้ของสัตว์เลื้อยคลานจำพวกงูและเต่า แช่เย็นแช่แข็ง,77,เนื้อเต่า,(blank),24,20,44,0208.50.00,,0,2085000,0
2085000001,13,20850,,5,1,เนื้อและส่วนอื่นที่บริโภคได้ของตะพาบน้ำไต้หวัน สด แช่เย็น แช่แข็ง,77,เนื้อเต่า,Taiwan snapping turtles,24,20,44,0208.50.00,,0,2085000,0
2085000002,13,20850,,5,1,เนื้อและส่วนอื่นที่บริโภคได้ของตะพาบน้ำอื่นๆ สด แช่เย็น แช่แข็ง,77,เนื้อเต่า,Other snapping turtles,24,20,44,0208.50.00,,0,2085000,0
2085000003,13,20850,,5,1,เนื้อและส่วนอื่นที่บริโภคได้ของจระเข้ สด แช่เย็น แช่แข็ง,76,เนื้อจระเข้,Crocodile,24,20,44,0208.50.00,,0,2085000,0
2089000002,4,20890,,2,1,ขากบสด แช่เย็น หรือแช่แข็ง,63,ขากบ,--Frogs' legs,24,20,44,0208.90.00,,0,2089000,0
2089010000,4,20890,,3,1,ขากบสด แช่เย็น หรือแช่แข็ง,63,ขากบ,--Frogs' legs,24,20,44,0208.90.10,,0,2089010,0
2109200000,5,21092,,2,2,เนื้อหรือส่วนอื่นที่บริโภคได้ของปลาวาฬ ปลาโลมา พะยูน ใส่เกลือ แช่น้ำเกลือ แห้งหรือรมควัน,147,วาฬ โลมา,"Other meat and ediable meat  of whales, dolphins and porpoises, manatees and dugongs, salted, in brine, dried or smoked",24,20,44,0210.92.00,,0,2109200,0
2109210000,5,21092,,3,2,เนื้อและส่วนอื่นที่บริโภคได้ของวาฬ โลมา แมนาทีและพยูนใส่เกลือ แช่น้ำเกลือ,147,วาฬ โลมา,"- - - Of whales, dolphins and porpoises (mammals of the order Cetacea ); of manatees and dugongs (mammals of the order Sirenia )",24,20,44,0210.92.10,,0,2109210,0
2109300000,5,21093,,5,5,เนื้อและส่วนอื่นที่บริโภคได้ของสัตว์เลื้อยคลานอื่นๆใส่เกลือ แช่น้ำเกลือ,77,เนื้อเต่า,(blank),24,20,44,0210.93.00,,0,2109300,0
3011010000,1,30110,7,2,1,ลูกปลาสวยงาม,21,ลูกปลาสวยงาม,Ornamental fish fry,13,13,37,0301.10.10,,1,3011010,0
3011020000,1,30110,7,2,1,ปลาทะเลสวยงามอื่นๆ,150,ปลาสวยงาม,Ornamental marine fish,13,13,37,0301.10.20,,1,3011020,0
3011030000,1,30110,7,2,1,ปลาน้ำจืดสวยงามอื่นๆ,150,ปลาสวยงาม,Ornamental freshwater fish,13,13,37,0301.10.30,,1,3011030,0
3011110000,1,30111,7,3,1,ลูกปลาน้ำจืดสวยงามมีชีวิต,21,ลูกปลาสวยงาม,#NAME?,13,13,37,0301.11.10,,1,3011110,0
3011111000,1,30111,7,4,1,ลูกปลาน้ำจืด โบเทีย (โครโมโบเทียแมคราแคนทัส) เลี้ยงสวยงาม มีชีวิต,21,ลูกปลาสวยงาม,Botia (Chromobotia macracanthus),13,13,37,0301.11.11,,1,3011111,0
3011119000,1,30111,7,4,1,ลูกปลาน้ำจืดอื่น ๆ เลี้ยงสวยงาม มีชีวิต,21,ลูกปลาสวยงาม,Other,13,13,37,0301.11.19,,1,3011119,0
3011191000,1,30111,7,3,1,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),87,ปลาคาร์ปแฟนซี,#NAME?,13,13,37,0301.11.91,,1,3011191,0
